Variables;MSE_Val;R2_Val;AIC_Val;BIC_Val
('x2', 'x3', 'x4', 'x6', 'x1^2', 'x3^2');24.39507361199109;0.9600612668480165;77.8876242153294;84.85775013020732
('x2', 'x3', 'x1^2', 'x3^2', 'x4^2', 'x6^2');24.398207106010567;0.9600561368048173;77.89019300675122;84.86031892162916
('x3', 'x4', 'x6', 'x1^2', 'x2^2', 'x3^2', 'x6^2');22.097144911220106;0.9638233526954338;77.90896821280936;85.8748264012413
('x1', 'x2', 'x3', 'x4', 'x1^2', 'x3^2', 'x6^2');22.10130350468561;0.9638165443964573;77.91273177793605;85.87858996636797
('x1', 'x3', 'x4', 'x6', 'x2^2', 'x3^2');24.430762822994687;0.960002837761171;77.91686219256893;84.88698810744687
('x1', 'x3', 'x5', 'x3^2', 'x4^2');27.030574339137075;0.9557465202751018;77.93937216546769;83.91376580679163
('x1', 'x2', 'x3', 'x4', 'x3^2', 'x4^2', 'x5^2');22.13961779711355;0.963753817621145;77.94737328256964;85.91323147100157
('x3', 'x4', 'x6', 'x1^2', 'x2^2', 'x3^2');24.469955401943;0.9599386730868991;77.9489210978471;84.91904701272504
('x3', 'x4', 'x5', 'x6', 'x1^2', 'x3^2', 'x6^2');22.16645002840266;0.9637098888614957;77.97159771582349;85.93745590425542
('x1', 'x2', 'x3', 'x4', 'x5', 'x3^2', 'x4^2');22.168189430802773;0.9637070411747288;77.97316705521338;85.9390252436453
('x3', 'x6', 'x1^2', 'x3^2', 'x4^2');27.08968528474971;0.9556497459705543;77.98306077267586;83.9574544139998
('x3', 'x4', 'x5', 'x1^2', 'x2^2', 'x3^2', 'x5^2');22.183151767523512;0.9636825453776214;77.98666142709399;85.95251961552593
('x3', 'x1^2', 'x2^2', 'x3^2', 'x4^2', 'x6^2');24.53237764514658;0.959836477645569;77.99987563252884;84.97000154740678
('x1', 'x3', 'x4', 'x1^2', 'x2^2', 'x3^2', 'x6^2');22.23178396220247;0.9636029265055175;78.03045949935532;85.99631768778725
('x3', 'x4', 'x1^2', 'x3^2', 'x4^2', 'x5^2', 'x6^2');22.262660771650694;0.963552376108632;78.05821740449544;86.02407559292736
('x1', 'x3', 'x4', 'x5', 'x2^2', 'x3^2', 'x5^2');22.271871298251618;0.9635372969672465;78.06649011001554;86.03234829844746
('x1', 'x3', 'x4', 'x5', 'x2^2', 'x3^2', 'x4^2');22.32238560770963;0.963454596764825;78.11180027734946;86.07765846578138
('x2', 'x3', 'x4', 'x5', 'x1^2', 'x3^2', 'x5^2');22.378244090096423;0.9633631472755632;78.1617848183632;86.12764300679513
('x1', 'x3', 'x4', 'x6', 'x3^2', 'x4^2');24.76601008104974;0.9594539830623758;78.1894430368964;85.15956895177435
('x1', 'x2', 'x3', 'x4', 'x5', 'x3^2', 'x5^2');22.45336106803806;0.963240168473166;78.2288063296134;86.19466451804534
('x1', 'x3', 'x4', 'x5', 'x6', 'x3^2');24.83095938496998;0.9593476504085403;78.24182473823561;85.21195065311355
('x2', 'x3', 'x4', 'x5', 'x1^2', 'x3^2', 'x4^2');22.48770443700248;0.9631839427502833;78.2593738074992;86.22523199593113
('x3', 'x4', 'x5', 'x1^2', 'x2^2', 'x3^2', 'x5^2', 'x6^2');20.373896970380226;0.9666445919652379;78.28509042476882;87.24668088675475
('x2', 'x3', 'x4', 'x5', 'x1^2', 'x3^2', 'x5^2', 'x6^2');20.390319173390306;0.9666177061277849;78.3012047578305;87.26279521981643
('x1', 'x2', 'x3', 'x4', 'x5', 'x3^2', 'x5^2', 'x6^2');20.393141410364578;0.9666130856633747;78.30397277892376;87.26556324090967
('x1', 'x3', 'x4', 'x1^2', 'x3^2', 'x4^2');24.953883396226228;0.9591464036584127;78.34058914458207;85.31071505946001
('x1', 'x3', 'x6', 'x3^2', 'x4^2');27.586852414190115;0.9548358019083032;78.34678594844138;84.32117958976532
('x3', 'x4', 'x5', 'x1^2', 'x2^2', 'x3^2', 'x4^2');22.593660150986235;0.9630104758834055;78.35338685262593;86.31924504105785
('x3', 'x4', 'x6', 'x1^2', 'x2^2', 'x3^2', 'x5^2');22.607139097761827;0.9629884086387231;78.36531491354445;86.33117310197638
