test;variables_used;mse;r_squared;aic
4040;x1, x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x6, x6_squared;0.7646410755428968;0.9986151750265659;278.9528328856424
2139;x1_squared, x2, x3_squared, x4, x4_squared, x5;0.831143661447896;0.9984947336264047;279.2924445136315
3078;x1_squared, x2, x3_squared, x4, x4_squared, x5, x6;0.8203728335412205;0.9985142404407086;279.9880699402396
3079;x1_squared, x2, x3_squared, x4, x4_squared, x5, x6_squared;0.8271561242677765;0.9985019553690577;280.81152485122766
3007;x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5;0.8290920731759884;0.998498449213711;281.0453001746215
3668;x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x6;0.8187158906431357;0.9985172412942832;281.78589132256633
3711;x1_squared, x2, x3_squared, x4, x4_squared, x5, x6, x6_squared;0.8197573372151855;0.9985153551528403;281.9130153664134
3669;x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x6_squared;0.8256209037178687;0.9985047357739107;282.6257501259688
3985;x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x6, x6_squared;0.8182646102081302;0.9985180585985537;283.7307556082187
2883;x1, x2, x4, x4_squared, x5, x5_squared, x6_squared;3.734349150948435;0.9932368007302199;431.54506130354696
3563;x1, x2, x2_squared, x4, x4_squared, x5, x5_squared, x6_squared;3.6887916827874805;0.993319308879015;432.31760135967875
1907;x1, x2, x4, x4_squared, x5, x5_squared;3.840432861380438;0.9930446748084252;432.3462150973895
2817;x1, x2, x2_squared, x4, x4_squared, x5, x5_squared;3.777424073471205;0.9931587886663298;432.69193816953856
3093;x1_squared, x2, x4, x4_squared, x5, x5_squared, x6_squared;3.7862659695736953;0.9931427752988468;432.9257367540862
2882;x1, x2, x4, x4_squared, x5, x5_squared, x6;3.78817391697638;0.9931393198564232;432.97611532917864
3595;x1, x2, x4, x4_squared, x5, x5_squared, x6, x6_squared;3.7227229208881703;0.9932578567449297;433.2332434917181
3562;x1, x2, x2_squared, x4, x4_squared, x5, x5_squared, x6;3.730847670242081;0.9932431421864681;433.4512531683565
3423;x1, x1_squared, x2, x4, x4_squared, x5, x5_squared, x6_squared;3.7341144154588926;0.9932372258546063;433.5387752585651
3683;x1_squared, x2, x2_squared, x4, x4_squared, x5, x5_squared, x6_squared;3.736977244408331;0.9932320410467916;433.61541276269145
2159;x1_squared, x2, x4, x4_squared, x5, x5_squared;3.9004838767395444;0.9929359177086443;433.8977682807639
3944;x1, x2, x2_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;3.6773806227720884;0.9933399752038935;434.00777778591475
3027;x1_squared, x2, x2_squared, x4, x4_squared, x5, x5_squared;3.8324931992732085;0.993059054159363;434.1392623683204
3092;x1_squared, x2, x4, x4_squared, x5, x5_squared, x6;3.836481578070555;0.9930518308924752;434.24327572793413
3848;x1, x1_squared, x2, x2_squared, x4, x4_squared, x5, x5_squared, x6_squared;3.688180505043434;0.993320415769856;434.3010314789775
2621;x1, x1_squared, x2, x4, x4_squared, x5, x5_squared;3.840421382503539;0.9930446955975717;434.3459162015497
3715;x1_squared, x2, x4, x4_squared, x5, x5_squared, x6, x6_squared;3.769549434281349;0.9931730502556633;434.483254727374
3682;x1_squared, x2, x2_squared, x4, x4_squared, x5, x5_squared, x6;3.7748659550453687;0.9931634216194818;434.6241939882635
3357;x1, x1_squared, x2, x2_squared, x4, x4_squared, x5, x5_squared;3.777337897480539;0.9931589447378093;434.68965680075416
3422;x1, x1_squared, x2, x4, x4_squared, x5, x5_squared, x6;3.787725420201411;0.993140132119267;434.96427523586345
3989;x1_squared, x2, x2_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;3.720470417697349;0.9932619362049158;435.1727183069723
3880;x1, x1_squared, x2, x4, x4_squared, x5, x5_squared, x6, x6_squared;3.7220813868097906;0.9932590186134735;435.2160090808874
3847;x1, x1_squared, x2, x2_squared, x4, x4_squared, x5, x5_squared, x6;3.729821875176751;0.9932449999818044;435.4237544280478
4044;x1, x1_squared, x2, x2_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;3.6761790318792986;0.9933421513792644;435.9750972621979
978;x1, x2, x4, x4_squared, x5;4.450443818720814;0.9919398971096943;445.08808921583386
1909;x1, x2, x4, x4_squared, x5, x6_squared;4.37140119871458;0.992083049495371;445.2960664560804
1188;x1_squared, x2, x4, x4_squared, x5;4.4849974710982545;0.9918773177345258;445.8614998062255
2161;x1_squared, x2, x4, x4_squared, x5, x6_squared;4.398640530570892;0.9920337169284702;445.9172589267599
1832;x1, x2, x2_squared, x4, x4_squared, x5;4.409352180748469;0.9920143172896762;446.16048472881005
2819;x1, x2, x2_squared, x4, x4_squared, x5, x6_squared;4.342711902155795;0.9921350080620966;446.6376081624412
2084;x1_squared, x2, x2_squared, x4, x4_squared, x5;4.439514686375785;0.991959690625755;446.8422132008948
1908;x1, x2, x4, x4_squared, x5, x6;4.44049194086029;0.9919579207412185;446.86422342069466
1650;x1, x1_squared, x2, x4, x4_squared, x5;4.448937112244092;0.9919426258733238;447.05422828769053
3029;x1_squared, x2, x2_squared, x4, x4_squared, x5, x6_squared;4.366728135223522;0.9920915127799522;447.189108461801
2623;x1, x1_squared, x2, x4, x4_squared, x5, x6_squared;4.36828165493536;0.9920886992338814;447.2246784214356
2884;x1, x2, x4, x4_squared, x5, x6, x6_squared;4.371196385201905;0.9920834204287099;447.2913810405446
2160;x1_squared, x2, x4, x4_squared, x5, x6;4.469325516704175;0.9919057008733888;447.5114572531979
3094;x1_squared, x2, x4, x4_squared, x5, x6, x6_squared;4.398575494388215;0.992033834714099;447.9157803639397
2818;x1, x2, x2_squared, x4, x4_squared, x5, x6;4.401692855750536;0.9920281889281168;447.98662732834305
2546;x1, x1_squared, x2, x2_squared, x4, x4_squared, x5;4.4068773522621685;0.9920187993982137;448.1043421671392
3359;x1, x1_squared, x2, x2_squared, x4, x4_squared, x5, x6_squared;4.338639638253823;0.9921423832514897;448.54379179797996
3028;x1_squared, x2, x2_squared, x4, x4_squared, x5, x6;4.426837462451282;0.9919826500728027;448.55625044302826
3564;x1, x2, x2_squared, x4, x4_squared, x5, x6, x6_squared;4.342439495771544;0.9921355014114287;448.6313352404883
2622;x1, x1_squared, x2, x4, x4_squared, x5, x6;4.437938944066626;0.9919625444186928;448.8067133291679
3684;x1_squared, x2, x2_squared, x4, x4_squared, x5, x6, x6_squared;4.366693141677017;0.9920915761560102;449.1883070909431
3424;x1, x1_squared, x2, x4, x4_squared, x5, x6, x6_squared;4.368203123861236;0.9920888414598173;449.22288064862164
3358;x1, x1_squared, x2, x2_squared, x4, x4_squared, x5, x6;4.398111035819526;0.9920346758850035;449.9052205112605
3849;x1, x1_squared, x2, x2_squared, x4, x4_squared, x5, x6, x6_squared;4.338533342293081;0.9921425757618135;450.54134178434106
3118;x1_squared, x2_squared, x3, x4, x4_squared, x5, x5_squared;4.88727365292296;0.9911487640109202;458.45116792260103
2908;x1, x2_squared, x3, x4, x4_squared, x5, x5_squared;4.89077860486408;0.9911424162679936;458.5228581119932
3612;x1, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6_squared;4.834021225411278;0.9912452083347644;459.3555739539764
3732;x1_squared, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6_squared;4.838123912038621;0.991237778047429;459.4404090513637
2923;x1, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared;4.943691931850516;0.9910465860818028;459.59894731043835
3133;x1_squared, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared;4.944601796280641;0.9910449382459416;459.617350170582
3716;x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared;4.8596966825122125;0.9911987080677306;459.88530913683826
3448;x1, x1_squared, x2_squared, x3, x4, x4_squared, x5, x5_squared;4.868268260844745;0.9911831842669353;460.0615347009871
3596;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared;4.868794066578835;0.9911822319915018;460.07233479072505
3618;x1, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;4.871961018590116;0.9911764963929639;460.1373595674529
3611;x1, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6;4.875118084552782;0.9911707786988355;460.20213930381624
3731;x1_squared, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6;4.878347471110666;0.9911649300264358;460.26835959561845
3738;x1_squared, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;4.881612025026044;0.9911590176631928;460.3352564723609
3897;x1, x1_squared, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6_squared;4.815528251393267;0.9912787005614735;460.97228151730957
3999;x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;4.825413285115149;0.9912607979899283;461.17734524782645
3463;x1, x1_squared, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared;4.923361179478748;0.9910834066692833;461.1868530222236
3954;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;4.825938610199985;0.9912598465849882;461.1882312893065
3617;x1, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6;4.92926671317837;0.9910727112844677;461.3067303680683
3959;x1, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6, x6_squared;4.832769959732588;0.9912474744750694;461.3296860318787
4004;x1_squared, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6, x6_squared;4.8380395359758515;0.991237930859098;461.4386650530688
3737;x1_squared, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6;4.936629972076605;0.9910593758449598;461.4559972923082
3881;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared;4.84348459838713;0.9912280694239093;461.5511486436653
3998;x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;4.850095102784826;0.991216097281855;461.68753799881006
